name,birth,incoming_links,outgoing_links
John Cook Wilson, (1849–1915),T. H. Green:,H. A. Prichard:W. D. Ross:
Wilhelm Windelband, (1848–1915),Hermann Lotze:Johann Friedrich Herbart:Georg Wilhelm Friedrich Hegel:Kuno Fischer:Immanuel Kant:,Albert Schweitzer:Edmund Husserl:Heinrich Rickert:Ernst Troeltsch:Max Weber:
Ludwig Wittgenstein, (1889–1951),Fyodor Dostoyevsky:Bertrand Russell:Arthur Schopenhauer:Gottlob Frege:Oswald Spengler:Johann Georg Hamann:Heinrich Hertz:Georg Christoph Lichtenberg:Piero Sraffa:Frank P. Ramsey:Leo Tolstoy:Adolf Loos:Karl Kraus:William James:Ludwig Boltzmann:Otto Weininger:L. E. J. Brouwer:Søren Kierkegaard:G. E. Moore:Johann Wolfgang von Goethe:Hermann von Helmholtz:Augustine of Hippo:,Bertrand Russell:Ian Hacking:Peter Hacker:Jon Fosse:Alan Turing:Crispin Wright:Frank P. Ramsey:Saul Kripke:James Tully:Daniel Dennett:Hans Sluga:Quentin Skinner:Norman Malcolm:Alice Crary:G. E. M. Anscombe:Cora Diamond:John Searle:Noam Chomsky:Thomas Kuhn:G. E. Moore:James F. Conant:Vienna Circle:Talal Asad:Gilbert Ryle:Rudolf Carnap:Paul Feyerabend:Stephen Toulmin:
Christian Wolff (philosopher), (1679–1754),Wang Yangming:Confucius:Gottfried Wilhelm Leibniz:Baruch Spinoza:Zhu Xi:René Descartes:Ehrenfried Walther von Tschirnhaus:,Johannes Nikolaus Tetens:Alexander Gottlieb Baumgarten:Michael Christoph Hanow:Moses Mendelssohn:Emer de Vattel:Arthur Schopenhauer:Johann Christoph Gottsched:Mikhail Lomonosov:Anton Wilhelm Amo:Johann Heinrich Samuel Formey:Georg Friedrich Meier:Martin Knutzen:Georg Bernhard Bilfinger:Johann Peter Reusch:Adam Weishaupt:de:Immanuel Kant:Søren Kierkegaard:
William Wollaston, (1659–1724),Cumberland:Clarke:Cudworth:Descartes:Newton:Locke:,John Conybeare:John Clarke:Samuel Johnson:
Nicholas Wolterstorff, (born 1932),Alvin Plantinga:Abraham Kuyper:Thomas Reid:William Harry Jellema:John Calvin:Augustine of Hippo:,Gary Chartier:David Claerbaut:Kendall Walton:
Crispin Wright, (born 1942),Ludwig Wittgenstein:George Boolos:Gottlob Frege:Michael Dummett:Noam Chomsky:,Annalisa Coliva:Michael Lynch:Paul Boghossian:Luca Moretti:Jose Zalabardo:Carrie Ichikawa Jenkins:Duncan Pritchard:
John Wyclif, (c. 1330 – 1384),Thomas Bradwardine:Richard Fitzralph:William of Ockham:Augustine of Hippo:Robert Grosseteste:Roger Bacon:,Jan Hus:Martin Luther:John Calvin:Huldrych Zwingli:Henry VIII:William Tyndale:
Xenocrates, (396–314 BC),Speusippus:Pythagoreanism:,Crantor:Polemo:
Xenophanes, of Colophon, (570–480 BC),Thales:Epimenides:Pythagoras:Homer:,Zeno of Elea:Democritus:Timon of Phlius:Protagoras:Pyrrho:Karl Popper:Parmenides:
Yajnavalkya, (c. 1800 BC),Aruni:,Indian philosophy:
Yang Chu, (370–319 BC),,Max Stirner:Mencius:
Francis Parker Yockey, (1917–1960),Carl Schmitt:Ernst Niekisch:Ernst Jünger:Julius Evola:Oswald Spengler:Gregor Strasser:Karl Haushofer:Joseph de Maistre:,James H. Madole:Willis Carto:H. Keith Thompson:Christian Bouchet:
Iris Marion Young, (1949–2006),Simone de Beauvoir:Jacques Derrida:Jürgen Habermas:Michel Foucault:Karl Marx:Maurice Merleau-Ponty:,Seyla Benhabib:
Edward N. Zalta, (born 1952),Ernst Mally:Alexius Meinong:Gottlob Frege:,
Peter Wessel Zapffe, (1899–1990),Henrik Ibsen:Henri-Frédéric Amiel:Arthur Schopenhauer:Sigmund Freud:Friedrich Nietzsche:Jakob Johann von Uexküll:,Thomas Ligotti:Herman Tønnessen:
Zeno of Citium, (333–264 BC),Heraclitus:Diodorus:Crates of Thebes:Socrates:Stilpo:Hipparchia:Cynicism:Philo:Polemo:,Seneca:Chrysippus:Panaetius:Cleanthes:Posidonius:Epictetus:Marcus Aurelius:Peter Kropotkin:
Zeno of Elea, (c. 495 – c. 430 BC),Parmenides:,Gorgias:Protagoras:Plato:Marcus Aurelius:Aristotle:
Zeno of Sidon, (1st century BC),Apollodorus:Epicurus:,Philodemus:
Dewi Zephaniah Phillips, (1934–2006),Weil:Kant:Wittgenstein:Winch:Kierkegaard:Rhees:,
Zhu Xi,) (1130–1200),Confucius:Mencius:Zhou Dunyi:Cheng Yi:Cheng Hao:Zhang Zai:,Wang Yangming:Qian Mu:Arthur Schopenhauer:Christian Wolff:Joseph Needham:Tu Wei-ming:Gottfried Leibniz:Wang Fuzhi:Toegye:
Zhuang Zhou,) (circa 300 BC),Confucius:Laozi:Yang Zhu:Chinese thought:Zhou Era:Mozi:Hui Shi:,Alan Watts:Aleister Crowley:Chinese Buddhism:Daoism:Zen:East Asian philosophies:
Slavoj Žižek, (born 1949),Badiou:Kant:Freud:Marx:Schelling:Adorno:Chesterton:Lacan:Jameson:Laclau:Dolar:Debenjak:Rancière:Schmitt:Althusser:Hegel:Lenin:Spinoza:Engels:Strauss:Job:Benjamin:Foucault:Zupančič:Balibar:,Varoufakis:Fisher:Santner:Tsipras:Rousselle:Dean:Zupančič:Brooks:Horvat:Dolar:
Xavier Zubiri, (1889–1983), Ortega y Gasset:Suárez:Heidegger:Hegel:Kant:Husserl:Leibniz:Aristotle:Aquinas:,Enrique Dussel:Olavo de Carvalho:Ignacio Ellacuría:Frederick Wilhelmsen:Graham Harman:
Shihāb al-Din Sührawardį,NA,,Muhammad Abduh:
Abu al-Mānsūr al-Matūrīdī,NA,,Muhammad Abduh:
Rashid Rida,NA,Muhammad Abduh:,
Abul Kalam Azad,NA,Muhammad Abduh:,
Hassan al-Banna,NA,Muhammad Abduh:,
Sayyid Qutb,NA,Muhammad Abduh:,
Muhammad Asad,NA,Muhammad Abduh:,
Mahmoud Taleghani,NA,Muhammad Abduh:,
Muhammad al-Tahir ibn Ashur,NA,Muhammad Abduh:,
Mahmud Shaltut,NA,Muhammad Abduh:,
Mustafa al-Maraghi,NA,Muhammad Abduh:,
Mohammed al-Ghazali,NA,Muhammad Abduh:,
Yusuf al-Qaradawi,NA,Muhammad Abduh:,
Boethius,NA,,Peter Abelard:
Arnold of Brescia,NA,Peter Abelard:,
Śambhunātha,NA,Abhinavagupta:,
Gottfried Wilhelm Leibniz,NA,,Robert Merrihew Adams:
Euclid,NA,,Adelard of Bath:
Islamic philosophy,NA,,Adelard of Bath:
Hugh of Saint Victor,NA,Adelard of Bath:,
Baudelaire,NA,,Theodor Adorno:
Berg,NA,,Theodor Adorno:
Bloch,NA,,Theodor Adorno:
Cornelius,NA,,Theodor Adorno:
Hegel,NA,,Theodor Adorno:
Kracauer,NA,,Theodor Adorno:
Lukács,NA,,Theodor Adorno:
Mann,NA,,Theodor Adorno:
Schoenberg,NA,,Theodor Adorno:
Bauman,NA,Theodor Adorno:,
Fisher,NA,Theodor Adorno:,
Geuss,NA,Theodor Adorno:,
Honneth,NA,Theodor Adorno:,
Zerzan,NA,Theodor Adorno:,
Timon,NA,,Aenesidemus:
Favorinus,NA,Aenesidemus:,
Avempace,NA,,Jamal al-Din al-Afghani:
Saad Zaghloul,NA,Jamal al-Din al-Afghani:,
Mirza Reza Kermani,NA,Jamal al-Din al-Afghani:,
Abu'l-Barakāt al-Baghdādī,NA,,Albert of Saxony (philosopher):
Avicebron,NA,,Albertus Magnus:
Jordan of Saxony,NA,,Albertus Magnus:
Scholasticism,NA,Albertus Magnus:,
Stobaeus,NA,Alcmaeon of Croton:,
Richard of Saint Victor,NA,,Alexander of Hales:
Alexander Carpenter,NA,Alexander of Hales:,
T. H. Green,NA,,Samuel Alexander:
Montesquieu,NA,,Louis Althusser:
Jean-Jacques Rousseau,NA,,Louis Althusser:
Giulio Angioni,NA,Louis Althusser:,
