name,birth,incoming_links,outgoing_links
Louis Lavelle, (1883–1951),Maine de Biran:,Pierre Hadot:Renaud Barbaras:Walter J. Ong:Paul Ricœur:Olavo de Carvalho:Nikolai Berdiaev:Gabriel Marcel:A. D. Sertillanges:Alfredo Bosi:Jean Guitton:
Henri Lefebvre, (1901–1991),Kostas Axelos:Roland Barthes:Heraclitus:François Rabelais:Karl Marx:Maurice Merleau-Ponty:Jean-Jacques Rousseau:Friedrich Nietzsche:Martin Heidegger:Friedrich Engels:Gaston Bachelard:Vladimir Lenin:G. W. F. Hegel:,Guy Debord:Jean Baudrillard:Neil Smith:David Harvey:Raoul Vaneigem:Jean-Paul Sartre:Michel de Certeau:Edward Soja:Situationist International:Mark Poster:Fredric Jameson:
Claude Lefort, (1924–2010),Castoriadis:Arendt:La Boétie:Solzhenitsyn:Machiavelli:Kantorowicz:Tocqueville:Marx:Merleau-Ponty:,Daniel Cohn-Bendit:Miguel Abensour:Marcel Gauchet:
Keith Lehrer, (born 1936),Roderick Chisholm:,
Gottfried Leibniz, (1646–1716),Suárez:Hugo Grotius:Apollonius of Perga:Confucius:Scholasticism:Bossuet:Euclid:Hobbes:Pascal:Plato:Ramon Llull:Descartes:Spinoza:Anne Conway:Aristotle:Archimedes:Malebranche:,Newman:Blondel:Heidegger:Kant:Wiener:Mandelbrot:Platner:Deleuze:Wolff:Lagrange:Russell:Gibbon:Tarski:Gödel:Euler:Frege:Hume:Rousseau:Voltaire:Peirce:Berkeley:Wundt:Rauschenbusch:Gauss:Riemann:Boole:Rescher:
Giacomo Leopardi, (1798–1837),Lucian:Vittorio Alfieri:Lucretius:Torquato Tasso:Homer:Baron d'Holbach:Plato:Monaldo Leopardi:Ugo Foscolo:Pietro Giordani:Virgil:,Francesco De Sanctis:Philipp Mainländer:Miguel de Unamuno:Umberto Saba:Arthur Schopenhauer:Samuel Beckett:Giosuè Carducci:Friedrich Nietzsche:Carlo Michelstaedter:Albert Camus:
Jules Lequier, (1814–1862),J. G. Fichte:,Charles Hartshorne:William James:Charles Renouvier:
Leucippus, (5th century BC),Milesian School:Zeno of Elea:,Democritus:
Emmanuel Levinas, (1906–1995),Wahl:Maimonides:Monsieur Chouchani:Heidegger:Buber:Rosenzweig:Vladimir Jankélévitch:Descartes:Husserl:Henri Bergson:Marcel:Kierkegaard:Shestov:,Finkielkraut:B. Lévy:B.-H. Lévy:Agamben:Bernasconi:Critchley:Derrida:Llewelyn:Bauman:Marion:Putnam:Ricoeur:Ronell:Blanchot:Butler:Lingis:Dussel:
Claude Lévi-Strauss, (1908–2009),Morgan:Durkheim:Jakobson:Hegel:Radcliffe-Brown:Saussure:Mauss:Rousseau:Boas:,Barthes:Leach:Deleuze and Guattari:Althusser:Derrida:Bourdieu:Lacan:Descola:Clément:
Clarence Irving Lewis,NA,,Brand Blanshard:
David Lewis (philosopher), (1941–2001),Ryle:Carnap:Thomas Schelling:Strawson:Leibniz:Smart:Hume:Quine:,Barry Loewer:Mark Johnston:Ted Sider:Peter Railton:Gideon Rosen:Dean Zimmerman:Stathis Psillos:Bob Brandom:L.A. Paul:David Velleman:John Hawthorne:
Theodor Lipps, (1851–1914),Edmund Husserl:,Moritz Geiger:
John Locke, (1632–1704),Filmer:Grotius:Bacon:Masham:Hobbes:Pufendorf:Descartes:Spinoza:,Kant:Jefferson:Shaftesbury:Voltaire:Hume:Rousseau:Berkeley:
Peter Lombard, (c. 1100 – 1160),Avicenna:Peter Abelard:Paul of Tarsus:Pseudo-Dionysius:Hugh of Saint Victor:Augustine of Hippo:,Bonaventure:William of Ockham:Albert the Great:Thomas Aquinas:Duns Scotus:Gabriel Biel:
Aleksei Losev, (1893–1988),Pavel Florensky:Vladimir Solovyov:,
Nicholas Onufrievich Lossky, (1870–1965),Origen:Hegel:Plotinus:Vladimir Solovyov:Wilhelm Wundt:Pavel Florensky:Wilhelm Windelband:,Nicolai Hartmann:Vladimir Lossky:
Domenico Losurdo, (1941–2018),G. W. F. Hegel:Charles Darwin:Karl Marx:Antonio Gramsci:Sigmund Freud:Friedrich Nietzsche:Martin Heidegger:György Lukács:Immanuel Kant:,
Hermann Lotze, (1817–1881),G. W. F. Hegel:Gustav Theodor Fechner:E. H. Weber:Johann Friedrich Herbart:Jakob Friedrich Fries:F. W. J. Schelling:Christian Hermann Weisse:Alfred Wilhelm Volkmann:Johann Gottlieb Fichte:,Hermann Helmholtz:T. H. Green:Bertrand Russell:Carl Stumpf:James Ward:William James:Gottlob Frege:Edmund Husserl:Georg Elias Müller:George Trumbull Ladd:Wilhelm Windelband:Josiah Royce:Borden Parker Bowne:
Arthur Oncken Lovejoy, (1873–1962),,George Boas:
John Lucas (philosopher), (born 1929),Kurt Gödel:,Roger Penrose:
Lucretius, (c. 99 – 55 BC),Epicurus:Gaius Memmius:Socrates:Plato:Aristotle:,Pierre Gassendi:Ovid:Montaigne:Charles Darwin:Gilles Deleuze:Karl Marx:Stephen Greenblatt:Arthur Schopenhauer:Baruch Spinoza:Sigmund Freud:Cicero:Friedrich Nietzsche:Virgil:
Georg Lukács, (1885–1971),Vladimir Lenin:G. W. F. Hegel:Emil Lask:Karl Marx:Rosa Luxemburg:Wilhelm Dilthey:Søren Kierkegaard:Max Weber:Georg Simmel:Friedrich Engels:Georges Sorel:Immanuel Kant:,Andrew Arato:Lucien Goldmann:The Frankfurt School:Costanzo Preve:Fredric Jameson:Guy Debord:The Budapest School:The Praxis School:Tom Rockmore:Karel Kosík:Sandra Harding:Moishe Postone:Cornelius Castoriadis:Karl Polanyi:Imre Lakatos:Leszek Kołakowski:Richard D. Wolff:Walter Benjamin:Jean-Paul Sartre:
Jean-François Lyotard, (1924–1998),Parsons:Montaigne:Durkheim:Klossowski:Deleuze and Guattari:Heidegger:Kant:Lacan:Wittgenstein:Freud:Austin:Nietzsche:Marx:,Roland Barthes:Mark Fisher:Richard Rorty:Alain Badiou:Margret Grebowicz:
Niccolò Machiavelli, (1469–1527),Thucydides:Petrarch:Tacitus:Plutarch:Livy:Dante Alighieri:Sallust:Gemistos Plethon:Ibn Khaldun:Xenophon:Marsilio Ficino:Polybius:,David Hume:John Adams:Sismondi:Vincenzo Cuoco:Marquis de Sade:Hannah Arendt:Harrington:Vico:Denis Diderot:Weber:Gramsci:Bacon:Althusser:Hegel:Political realism:Negri:T. Schelling:Edward Gibbon:Philip Pettit:Spinoza:Rousseau:Strauss:Carl Schmitt:Giulio Andreotti:Hobbes:Pareto:Waltz:Nietzsche:
Alasdair MacIntyre, (born 1929),Ludwig Wittgenstein:Thomas Kuhn:R. G. Collingwood:Imre Lakatos:G. E. M. Anscombe:Karl Marx:John Henry Newman:Edith Stein:Thomas Aquinas:Karl Barth:Friedrich Nietzsche:Augustine of Hippo:Aristotle:Søren Kierkegaard:G. W. F. Hegel:,Christian Smith:Stanley Hauerwas:postliberal theology:radical orthodoxy:Edward Feser:
J. L. Mackie, (1917–1981),John Anderson:David Hume:,Colin MacLeod:Richard Joyce:Michael Martin:
Salomon Maimon,) (1753–1800),Reinhold:Maimonides:Kant:Wolff:Leibniz:Hume:Spinoza:,Reinhold:Fichte:Deleuze:
Maimonides,) (1135–1204),Averroes:Avicenna:Al-Ghazali:Plato:al-Farabi:Talmud:Aristotle:Avempace:,Strauss:Aquinas:Fackenheim:Buber:Rosenzweig:Newton:Bodin:Catholic theology:Friedländer:Leibniz:Albertus Magnus:Jewish philosophy:Levinas:Spinoza:Joyce:
Maine de Biran, (1766–1824),Bacon:Antoine Destutt de Tracy:Descartes:Stoicism:John Locke:Étienne Bonnot de Condillac:Leibniz:Pierre Cabanis:Rousseau:Charles Bonnet:,Pierre Janet:François Picavet:Maurice Blondel:Louis Lavelle:Michel Henry:Henri Bergson:Émile Boutroux:Félix Ravaisson:Victor Cousin:
Errico Malatesta, (1853–1932),Élisée Reclus:Pierre-Joseph Proudhon:Mikhail Bakunin:Carlo Cafiero:Peter Kropotkin:,Virginia Bolten:Élisée Reclus:FORA:Antonio Gramsci:anarchism in Argentina:
Norman Malcolm, (1911–1990),Ludwig Wittgenstein:Anselm of Canterbury:Oets Kolk (O.K.) Bouwsma:René Descartes:Søren Kierkegaard:,Oets Kolk (O.K.) Bouwsma:Sydney Shoemaker:John Rawls:
Nicolas Malebranche, (1638–1715),St. Augustine:Thomas Aquinas:René Descartes:,Montesquieu:George Berkeley:David Hume:Giambattista Vico:Louis Lavelle:John Henry Newman:Jacob Bernoulli:Augusto Del Noce:Alain Badiou:J.-J. Rousseau:Leibniz:Joseph de Maistre:Louis Gabriel Ambroise de Bonald:
Ernst Mally, (1879–1944),Louis Couturat:Alexius Meinong:Ernst Schröder:,Edward N. Zalta:
Bernard de Mandeville, (1670–1733),William Petty:Pierre Bayle:René Descartes:,Adam Smith:Marquis de Sade:Friedrich Hayek:Jean-François Melon:
Gabriel Marcel, (1887–1973),Friedrich Schelling:Martin Buber:Edmund Husserl:Nikolai Berdyaev:François Mauriac:Henri Bergson:Martin Heidegger:Josiah Royce:Søren Kierkegaard:,Paul Ricœur:John Paul II:Walker Percy:Jean Wahl:Emmanuel Levinas:Pierre Boutang:
Ruth Barcan Marcus, (1921–2012),Arthur Prior:Willard Van Orman Quine:,Timothy Williamson:Saul Kripke:
Herbert Marcuse, (1898–1979),Karl Marx:Edmund Husserl:Friedrich Pollock:Sigmund Freud:Theodor W. Adorno:Max Horkheimer:Friedrich Nietzsche:Martin Heidegger:Friedrich Engels:Immanuel Kant:G. W. F. Hegel:,Angela Davis:Jürgen Habermas:Douglas Kellner:Abbie Hoffman:Andrew Feenberg:George Katsiaficas:Xi Jinping:Norman O. Brown:Bob Black:Emerita Quito:
Joseph Maréchal, (1878–1944),Thomas Aquinas:Immanuel Kant:,Karl Rahner:Richard De Smet:Bernard Lonergan:
José Carlos Mariátegui, (1894–1930),Manuel González Prada:Friedrich Nietzsche:Karl Marx:Rosa Luxemburg:Benedetto Croce:Antonio Gramsci:Georges Sorel:Vladimir Lenin:,Abimael Guzmán:Javier Mariátegui:Gustavo Gutiérrez:Che Guevara:
Jacques Maritain, (1882–1973),John of St. Thomas:Étienne Gilson:Thomas Aquinas:Charles Maurras:Aristotle:Charles Baudelaire:,Mortimer J. Adler:John F. X. Knasas:Yves Congar:Ivan Illich:John Haddox:Jean Daujat:Yves Simon:Emmanuel Mounier:
Svetozar Marković, (1846–1875),Karl Marx:Nikolai Chernyshevsky:,Nikola Pašić:Ljubodrag Simonović:
Odo Marquard, (1928–2015),Gehlen:Müller:Kant:Freud:,Gerd B. Achenbach:
Marsilius of Inghen, (1330–1396),Jean Buridan:Aristotle:William of Ockham:Peter of Spain:,
Anton Marty, (1847–1914),Franz Brentano:,Roman Jakobson:
Karl Marx, (1818–1883),Claude Adrien Helvétius:David Ricardo:Charles Babbage:Max Stirner:Aristotle:Adam Ferguson:Maximilien Robespierre:Henri de Saint-Simon:François Guizot:Charles Darwin:Ludwig Feuerbach:Victor Considerant:Charles Fourier:Justus von Liebig:Ludwig von Westphalen:François-Noël Babeuf:Robert Owen:Epicurus:Jean Charles Léonard de Sismondi:Giambattista Vico:Baron d'Holbach:Jean-Jacques Rousseau:Baruch Spinoza:Adam Smith:William Thompson:Voltaire:G. W. F. Hegel:Constantin Pecqueur:William Shakespeare:Johann Wolfgang von Goethe:Pierre-Joseph Proudhon:Friedrich Wilhelm Schulz:Moses Hess:Friedrich Engels:,List of Marxists:
Damaris Cudworth Masham, (1659–1708),The Bible:Ralph Cudworth:Plotinus:Plato:Nicholas of Cusa:Augustine of Hippo:Aristotle:,David Hume:John Locke:Immanuel Kant:Denis Diderot:
John McDowell, (born 1942),Davidson:Wiggins:Sellars:Hegel:Kant:Gadamer:Foot:Strawson:Evans:Wittgenstein:Rorty:Brandom:Frege:Aristotle:Pippin:,Axel Honneth:Fricker:Brandom:Crary:Dancy:Pippin:Antony:
Colin McGinn, (born 1950),Edmund Gettier:,
John Ellis McTaggart, (1866–1925),T. H. Green:G. W. F. Hegel:,Michael Dummett:S. V. Keeling:Peter Geach:Michael Oakeshott:
George Herbert Mead, (1863–1931),John Dewey:Charles Cooley:William James:Wilhelm Wundt:Josiah Royce:,John Dewey:Charles W. Morris:Jürgen Habermas:H. Richard Niebuhr:Herbert Blumer:Eugene Halton:C. Wright Mills:
Georg Friedrich Meier, (1718–1777),A. G. Baumgarten:,Immanuel Kant:
Alexius Meinong, (1853–1920),David Hume:Franz Brentano:,Bertrand Russell:Richard Routley:Graham Priest:George Stout:Panayot Butchvarov:Ernst Mally:Richard Hönigswald:Héctor-Neri Castañeda:Terence Parsons:Roderick Chisholm:William J. Rapaport:Edward N. Zalta:Dale Jacquette:
Melissus of Samos, (late 5th century BC),Parmenides:,
Mencius,) (372–289 BC),Zisi:Confucius:,Chinese philosophy:
Maurice Merleau-Ponty, (1908–1961),Heidegger:Darwin:Gesell:Kant:Koffka:Köhler:Bergson:Plotinus:Husserl:Freud:Scheler:Whitehead:Driesch:Saussure:Chardin:Marx:Schelling:Heraclitus:Schilder:Lacan:Tinbergen:Descartes:Weber:Fink:Malebranche:Klein:Uexküll:Bachelard:Brunschvicg:Hegel:Coghill:Beauvoir:Marcel:Proust:Sartre:Lévi-Strauss:Kojève:Piaget:Mounier:Nietzsche:,Danto:Barbaras:Lefort:Ricoeur:Deleuze:Crowther:Gallagher:Vesely:Giorgi:Manha:Ahmed:Young:Kompridis:Zahavi:Simondon:Lacan:Butler:Dreyfus:Lawlor:Ihde:Guenther:Irigaray:Castoriadis:Bourdieu:El-Bizri:Johnson:Polanyi:Diprose:Henry:Harman:Hillman:Sartre:Thompson:Schillebeeckx:Thảo:Virilio:Laplanche:McClamrock:Foucault:Edie:Abram:Varela:Clark:
István Mészáros (philosopher), (1930–2017),Karl Marx:György Lukács:,Cliff Slaughter:
Emile Meyerson, (1859–1933),Albert Einstein:Immanuel Kant:Auguste Comte:,Jacques Lacan:Gaston Bachelard:Thomas Kuhn:
Mary Midgley, (1919–2018),James Lovelock:G. E. Moore:Joseph Butler:Konrad Lorenz:Aristotle:C. S. Lewis:,
James Mill, (1773–1836),David Hartley:Jeremy Bentham:Dugald Stewart:,John Stuart Mill:
John Stuart Mill, (1806–1873),Goethe:Utopian Socialists:Babbage:Socrates:Herder:Tocqueville:Aristotle:Sismondi:Aquinas:Wordsworth:Locke:Francis Place:Coleridge:Plato:Epicurus:Guizot:Harriet Taylor Mill:Saint-Simon:Bain:Hume:Smith:Berkeley:Senior:Marmontel:Ricardo:W. von Humboldt:Auguste Comte:Hobbes:Bentham:James Mill:Demosthenes:,Ortega y Gasset:Russell:Social liberalism:Weber:Crisp:
Ruth Millikan, (born 1933),Wilfrid Sellars:,
Jacob Moleschott, (1822–1893),,Ivan Pavlov:
Luis de Molina, (1535–1600),Augustine of Hippo:Thomas Aquinas:,Alvin Plantinga:William Lane Craig:Western Theology:
Richard Montague, (1930–1971),Alfred Tarski:,
Michel de Montaigne, (1533–1592),Augustine:Heraclitus:Seneca:Ovid:Epicurus:Plutarch:Diogenes Laertius:Lucretius:Socrates:Sextus Empiricus:Horace:Plato:Cicero:Étienne de La Boétie:Virgil:Terence:,Montesquieu:David Hume:Stefan Zweig:Isaac Asimov:Étienne de La Boétie:William Hazlitt:Albert Camus:Michel Onfray:Albert Hirschman:Charles Darwin:Jean-François Lyotard:Karl Marx:Sigmund Freud:José Saramago:René Descartes:Jean Paul Sartre:Francis Bacon:Eric Hoffer:John Henry Newman:Jean-Jacques Rousseau:Edward Gibbon:Voltaire:Pierre Charron:Ralph Waldo Emerson:Gore Vidal:Michel Foucault:William Shakespeare:Virginia Woolf:Fulton Sheen:Blaise Pascal:Friedrich Nietzsche:Alexander Pushkin:
Charles de Secondat, Baron de Montesquieu, (1689–1755),Nicolas Malebranche:Thomas Hobbes:Jean Bodin:18th-century English constitution:John Locke:René Descartes:Cicero:Aristotle:Polybius:,Thomas Paine:Alexis de Tocqueville:Émile Durkheim:David Hume:United States Constitution:Hannah Arendt:Prosper de Barante:Edmund Burke:Jean de Sismondi:G.W.F. Hegel:Adam Ferguson:Rousseau:
G. E. Moore, (1873–1958),Bertrand Russell:John McTaggart:Thomas Reid:George Stout:Henry Sidgwick:Gottlob Frege:,Ludwig Wittgenstein:Bertrand Russell:W. D. Ross:
Thomas More, (1478–1535),Lucian:Giovanni Pico della Mirandola:Socrates:Dante Alighieri:Plato:Thomas Aquinas:Cicero:Erasmus:Augustine of Hippo:Aristotle:John Fisher:Amerigo Vespucci:,William Shakespeare:John Henry Newman:
Edgar Morin, (born 1921),Georg Wilhelm Friedrich Hegel:Gregory Bateson:Kostas Axelos:Heraclitus:Karl Marx:Gotthard Günther:Heinz von Foerster:René Thom:Fyodor Dostoevsky:Cornelius Castoriadis:Léon Brillouin:Niels Bohr:Baruch Spinoza:Gaston Bachelard:Henri Atlan:Henri Laborit:Blaise Pascal:John von Neumann:Georges Bataille:,
Gaetano Mosca, (1858–1941),Aristotle:Karl Marx:Vilfredo Pareto:Max Weber:,Joseph Schumpeter:Samuel T. Francis:James Burnham:Antonio Gramsci:Seymour Martin Lipset:C. Wright Mills:Piero Gobetti:Robert Michels:Gaetano Salvemini:
Emmanuel Mounier, (1905–1950),Charles Péguy:Marc Sangnier:Jacques Maritain:Plato:Jacques Chevalier:Henri Bergson:,Pierre Trudeau:Paul Ricœur:Ngo Dinh Nhu:Abbé Pierre:
Mozi,) (c. 470 – c. 390 BC),,Taoism:Zhuang Zhou:Chinese Buddhism:Logicians:Eastern philosophy:
Mulla Sadra, (1571–1640),Bahāʾ al-dīn al-ʿĀmilī:Avicenna:Mir Damad:Sheykh Baha'i:Shahab al-Din Suhrawardi:Imam Ali:Ibn Arabi:,Abul A'la Maududi:Hadi Sabzavari:Hossein Nasr:Gholamhossein Ebrahimi Dinani:Muhammad Husayn Tabatabaei:Ruhollah Khomeini:Morteza Motahhari:
Iris Murdoch, (1919–1999),Simone Weil:Jean-Paul Sartre:Stuart Hampshire:Plato:Philippa Foot:,Martha Nussbaum:Philippa Foot:Elizabeth Anscombe:
Musonius Rufus,NA,,Epictetus:
Arne Næss, (1912–2009),Baruch Spinoza:Gandhi:Buddha:Rachel Carson:Martin Heidegger:,
Ernest Nagel, (1901–1985),John Dewey:Morris Raphael Cohen:Rudolf Carnap:,M. Bunge:D. Hofstadter:I. Levi:H. Kyburg:P. Suppes:
Jean-Luc Nancy, (born 1940),Simone Weil:Heidegger:Baudelaire:Derrida:Lacoue-Labarthe:Hegel:Granel:Bataille:Freud:Blanchot:Nietzsche:Schelling:,Werner Hamacher:Esposito:Agamben:Todd May:Derrida:Lacoue-Labarthe:Shaj Mohan:Claire Denis:Avital Ronell:Karimi:Blanchot:Divya Dwivedi:
Hossein Nasr,NA,Avicenna:,
Paul Gerhard Natorp, (1854–1924),Ernst Laas:Hermann Cohen:,Hans-Georg Gadamer:José Ortega y Gasset:Ernst Cassirer:Rabindranath Tagore:Edmund Husserl:Karl Barth:Martin Heidegger:
Antonio Negri, (born 1933),Jacques Camatte:Jean Baudrillard:Raya Dunayevskaya:Louis Althusser:Gilles Deleuze:Karl Marx:Galvano Della Volpe:Antonio Gramsci:Niccolò Machiavelli:Mario Tronti:Thomas Hobbes:Baruch Spinoza:Henri Lefebvre:Félix Guattari:G. W. F. Hegel:Carl Schmitt:Michel Foucault:Augustine of Hippo:György Lukács:,Hugo Chávez:Tiqqun:Michael Hardt:Leopoldina Fortunati:Richard J. F. Day:
Leonard Nelson, (1882–1927),Neo-Kantianism:Jakob Friedrich Fries:Gerhard Hessenberg:David Hilbert:Ernst Friedrich Apelt:Immanuel Kant:,Paul Bernays:Kurt Grelling:Minna Specht:
Otto Neurath, (1882–1945),Ernst Mach:James George Frazer:,John O'Neill:Vienna Circle:Berlin Circle:
John Henry Newman, (1801–1890),Montesquieu:David Hume:Keble:Joseph Butler:Shakespeare:Copernicus:Socrates:Marquis de Lafayette:Alexander Pope:Isaac Newton:Gaius Marius Victorinus:Tractarianism:St. John Fisher:Aristotle:Tertullian:Dante Alighieri:Edmund Burke:Alexis De Tocqueville:Plato:Cicero:Montalembert:John Milton:St. Thomas Aquinas:Origen:Athanasius:Louis de Bonald:Richard Whately:Adam Smith:Jean-Jacques Rousseau:St. Thomas More:Edward Gibbon:Spinoza:Basil of Caesarea:Voltaire:Klemens von Metternich:Thomas Paine:Clement of Alexandria:Rene Descartes:Damião de Góis:Thomas Jefferson:John Locke:Erasmus:St. Augustine:Galileo:Joseph de Maistre:,Francis:Alvin Plantinga:George MacDonald:J. R. R. Tolkien:Ronald Knox:Fulton J. Sheen:Russell Kirk:Gerard Manley Hopkins:C. H. Douglas:Hilaire Belloc:Alasdair MacIntyre:Oscar Wilde:Robert Hugh Benson:James Joyce:Flannery O'Connor:C. S. Lewis:Leo XIII:Jaroslav Pelikan:Charles Dickens:Lord Acton:Dorothy Day:Linda Trinkaus Zagzebski:Benedict XVI:G. K. Chesterton:Simone Weil:Matthew Arnold:Bernard Lonergan:William F. Buckley Jr.:
Nicholas of Cusa, (1401–1464),Bonaventure:Meister Eckhart:Pythagoreanism:Gemistus Pletho:Proclus:Johannes Scottus Eriugena:Plotinus:Pseudo-Dionysius:Plato:Thomas Aquinas:Ramon Llull:Albertus Magnus:Aristotle:,Pico della Mirandola:Harry Mulisch:Thomas More:Ludwig von Bertalanffy:Roberto Mangabeira Unger:Galileo Galilei:Giordano Bruno:Nicolaus Copernicus:Karl Jaspers:Leibniz:John Fisher:Mário Ferreira dos Santos:
H. Richard Niebuhr, (1894–1962),,James W. Fowler:James Gustafson:Gordon Kaufman:Stanley Hauerwas:
Friedrich Nietzsche, (1844–1900),Bahnsen:Thucydides:Teichmüller:Goethe:Diogenes Laërtius:Dostoyevsky:Zoroaster:Shakespeare:Hesiod:Socrates:Kant:Darwin:Homer:Euripides:Machiavelli:Herder:Parmenides:von Hellwald:Milesian School:Stendhal:Spencer:Theognis of Megara:Renan:Heraclitus:Aeschylus:Montaigne:Mainländer:Cervantes:Emerson:Plato:Feuerbach:Wagner:Lange:Epicurus:French Moralists:Maupassant:Mill:Herzen:Hölderlin:Hegel:Pindar:Schopenhauer:Spinoza:Bourget:Strauss:Sainte-Beuve:Rée:Baudelaire:Xenophon:Sophocles:Ortlepp:Spir:Archilochus:Burckhardt:,Malaka:Heidegger:Jung:Rogers:Willard:Deleuze:Malraux:Iqbal:Camus:MacIntyre:Unamuno:Asad:Adorno:Cioran:Weber:Hamsun:Kaufmann:Brandes:Tillich:Unger:Shestov:Stevens:Castoriadis:Rand:Steiner:Buber:Mencken:Bataille:Spengler:Auden:Adler:Nehamas:Yeats:Proust:Sartre:Hesse:Strauss:Klossowski:Derrida:Strindberg:Ricœur:Campbell:Foucault:Sarah Kofman:Blanchot:Weizmann:Tönnies:Mann:
Nishida Kitaro, (1870–1945),,Masao Abe:Hajime Tanabe:Shizuteru Ueda:Tosaka Jun:Shin'ichi Hisamatsu:Nishitani Keiji:Miki Kiyoshi:
Nishitani Keiji, (1900–1990),Hajime Tanabe:Friedrich Schelling:Kitaro Nishida:Henri Bergson:Friedrich Nietzsche:Martin Heidegger:,
Robert Nozick, (1938–2001),Edmund Gettier:John Stuart Mill:Murray Rothbard:Carl Gustav Hempel:Friedrich von Hayek:Milton Friedman:Sidney Morgenbesser:John Locke:Ludwig Von Mises:Henry Hazlitt:Immanuel Kant:H.L. Mencken:,Thomas Sowell:Roderick Long:Rand Paul:Ron Paul:Jan Narveson:David Schmidtz:Tamar Gendler:Hans-Hermann Hoppe:Thomas Ernest Woods Jr.:Lew Rockwell:Walter Block:Stefan Molyneux:
Martha Nussbaum, (born 1947),Amartya Sen:John Stuart Mill:John Rawls:G. E. L. Owen:Adam Smith:Bernard Williams:Catharine MacKinnon:Aristotle:,Amartya Sen:David G. Hebert:Linda Martín Alcoff:Elizabeth S. Anderson:Louise Antony:
Michael Oakeshott, (1901–1990),Collingwood:Dilthey:Pater:Hobbes:Kant:Hegel:Simmel:Plato:Burke:Bradley:Tönnies:Aristotle:Spinoza:,Maurice Cowling:Margaret Thatcher:Leo Strauss:Andrew Sullivan:John N. Gray:J. G. A. Pocock:Hayden White:Gertrude Himmelfarb:Richard E. Flathman:
William of Ockham, (c. 1285–1349),Peter Abelard:Durandus of Saint-Pourçain:Anselm of Canterbury:Thomas Aquinas:Henry Harclay:Duns Scotus:Aristotle:Petrus Aureolus:,Thomas Hobbes:Gregory of Rimini:Henry VIII:Bertrand Russell:Adam de Wodeham:Martin Luther:John Calvin:Jean Buridan:Albert of Saxony:John Wycliffe:Gabriel Biel:René Descartes:
Michel Onfray, (born 1959),Pierre-Joseph Proudhon:Epicurus:Charles Darwin:Gilles Deleuze:Karl Marx:Michel Foucault:Sigmund Freud:individualist anarchism:Friedrich Nietzsche:Georges Palante:Albert Camus:Georges Bataille:,
Onora O'Neill, Baroness O'Neill of Bengarve, (born 1941),Christine Korsgaard:Immanuel Kant:John Rawls:,Christine Korsgaard:Katrin Flikschuh:
Nicole Oresme, (1320–1382),Jean Buridan:Aristotle:William of Ockham:,Henry of Langenstein:Galileo Galilei:
José Ortega y Gasset, (1883–1955),Wilhelm von Humboldt:Alexis de Tocqueville:Miguel de Unamuno:C. S. Peirce:Paul Natorp:John Stuart Mill:Arthur Schopenhauer:José Ingenieros:Edmund Husserl:Wilhelm Dilthey:Henri Bergson:Max Scheler:Friedrich Nietzsche:Hermann Cohen:Immanuel Kant:,Xavier Zubiri:Antonio Machado:Alain de Benoist:Olavo de Carvalho:José Antonio Primo de Rivera:María Zambrano:Generation of '27:Albert Jay Nock:José Gaos:Graham Harman:Davud Monshizadeh:Gregory Areshian:Mario Vargas Llosa:Julián Marías:
Thomas Paine, (1737–1809),Jacobin:Montesquieu:David Hume:Benjamin Franklin:Jean-Jacques Rousseau:John Locke:Religious Society of Friends:Edward Gibbon:Voltaire:,George Carlin:Pierre Victurnien Vergniaud:Bertrand Russell:Mark Twain:Robert G. Ingersoll:Charles Darwin:Karl Marx:Moncure D. Conway:Mary Wollstonecraft:William Godwin:Abraham Lincoln:Christopher Hitchens:Thomas Jefferson:Sigmund Freud:Thomas Edison:Jyotirao Phule:Friedrich Nietzsche:
Panaetius, (c. 185 – c. 110 BC),Antipater of Tarsus:Diogenes of Babylon:,Posidonius:Cicero:Hecato:
