,name,birth,incoming_links,outgoing_links,page,latitude,longitude
300,Max Horkheimer, (1895–1973),Dilthey:Hegel:Marx:Pollock:Cornelius:Freud:Kant:Schopenhauer:Adorno:,Marcuse:Habermas:Benjamin:Fromm:Adorno:,/wiki/Max_Horkheimer,48.817,9.167
301,Daniel Dennett, (born 1942),Charles Darwin:Ludwig Wittgenstein:Wilfrid Sellars:W. V. O. Quine:Richard Dawkins:Gilbert Ryle:David Hume:,Sam Harris:Douglas Hofstadter:Geoffrey Miller:Richard Dawkins:Keith Frankish:Peter Carruthers:,/wiki/Daniel_Dennett,42.35806,-71.06361
302,Epicureanism,,,Desiderius Erasmus:,/wiki/Epicureanism,FILL,FILL
303,Maupassant,,,Friedrich Nietzsche:,/wiki/Guy_de_Maupassant,FILL,FILL
304,Giovanni Gentile, (1875–1944),Nietzsche:Hegel:Bertrando Spaventa:Plato:Marx:Pasquale Galluppi:Rosmini:Darwin:Vincenzo Gioberti:Croce:Giambattista Vico:Freud:Giuseppe Mazzini:,Ugo Spirito:Giuseppe Bottai:Giovanni Treccani:Margherita Sarfatti:Benedetto Croce:Benito Mussolini:A. James Gregor:Armando Carlini:Luigi Federzoni:,/wiki/Giovanni_Gentile,FILL,FILL
305,Shoshana Zuboff,,,B. F. Skinner:,/wiki/Shoshana_Zuboff,FILL,FILL
306,Charles Bernard Renouvier, (1815–1903),Emanuel Swedenborg:Immanuel Kant:Jules Lequier:,Émile Durkheim:Octave Hamelin:William James:Léon Brunschvicg:Alfred Fouillée:,/wiki/Charles_Bernard_Renouvier,43.6119,3.8772
307,Stilpo, (c. 360 – c. 280 BC),Thrasymachus of Corinth:Diodorus Cronus:Pasicles of Thebes:Euclid of Megara:,Nicarete of Megara:Zeno of Citium:Crates of Thebes:Menedemus:Asclepiades:,/wiki/Stilpo,37.99639,23.34444
308,Demosthenes,,,John Stuart Mill:,/wiki/Demosthenes,37.98417,23.72806
309,Emily Brontë,,,Emil Cioran:,/wiki/Emily_Bront%C3%AB,FILL,FILL
310,Arthur Pap,,,Nuel Belnap:,/wiki/Arthur_Pap,FILL,FILL
311,Josiah Royce, (1865–1916),Friedrich Wilhelm Joseph Schelling:Hermann Lotze:William James:Alfred Bray Kempe:Charles Sanders Peirce:George Sylvester Morris:,Timothy Sprigge:William Ernest Hocking:C. I. Lewis:Gabriel Marcel:John Elof Boodin:J. W. Miller:Edward Vermilye Huntington:Norbert Wiener:Brand Blanshard:Morris Raphael Cohen:G. H. Mead:Henry M. Sheffer:,/wiki/Josiah_Royce,39.21917,-121.05833
312,Barker,,,Leo Strauss:,/wiki/Ernest_Barker,53.427,-2.092
313,Albertus Magnus,"), (1193?–1280)",Aristotle:Plato:Pseudo-Dionysius:Proclian:Al-Farabi:Averroes:Jordan of Saxony:Plotinus:Avicenna:Maimonides:Avicebron:,Nicholas of Cusa:Meister Eckhart:Scholasticism:Thomas Aquinas:,/wiki/Albertus_Magnus,FILL,FILL
314,surrealism,,,Ivan Sviták:,/wiki/Surrealism,FILL,FILL
