,name,birth,incoming_links,outgoing_links,page,latitude,longitude
191,Euclid,,,Adelard of Bath:,/wiki/Euclid,FILL,FILL
192,Francisco Sanches, (1551–1623),Sextus Empiricus:,Modern Philosophy:Pierre Bayle:,/wiki/Francisco_Sanches,42.04806,-8.64444
193,Georg Simmel, (1858–1918),Immanuel Kant:Max Weber:,Lewis A. Coser:Max Weber:Harrison White:Mark Granovetter:Emil Cioran:Georg Lukács:Barry Wellman:,/wiki/Georg_Simmel,52.52,13.405
194,György Mihály Vajda, (born 1935),György Lukács:,Andrew Arato:,/wiki/Gy%C3%B6rgy_Mih%C3%A1ly_Vajda,47.4925,19.05139
195,Maximilien Robespierre,,,Karl Marx:,/wiki/Maximilien_Robespierre,FILL,FILL
196,Mary Daly,,,Claudia Card:,/wiki/Mary_Daly,42.81417,-73.93722
197,Attalus,,,Seneca the Younger:,/wiki/Attalus_(Stoic),FILL,FILL
198,Ibn Abi Zar,,,Ibn Khaldun:,/wiki/Ibn_Abi_Zar,FILL,FILL
199,Ibn Qasi,,,Ibn Arabi:,/wiki/Abu-l-Qasim_Ahmad_ibn_al-Husayn_ibn_Qasi,FILL,FILL
200,Tabataba'i,,,Henry Corbin:,/wiki/Muhammad_Husayn_Tabatabai,38.067,46.3
201,Alexander Gottlieb Baumgarten, (1714–1762),Christian Wolff:Gottfried Leibniz:,Immanuel Kant:Johann Joachim Winckelmann:Georg Friedrich Meier:Johann Georg Sulzer:,/wiki/Alexander_Gottlieb_Baumgarten,52.52,13.405
202,Bessarion, (1403–1472),Gemistus Pletho:,John Argyropoulos:George of Trebizond:Theodore Gaza:Janus Lascaris:Regiomontanus:,/wiki/Bessarion,FILL,FILL
203,Joel Feinberg, (1926–2004),Ralph Barton Perry:John Stuart Mill:H.L.A. Hart:,Jules Coleman:,/wiki/Joel_Feinberg,42.33139,-83.04583
