,name,birth,incoming_links,outgoing_links,page,latitude,longitude,births
24,Niccolò Machiavelli, (1469–1527),Plutarch:Tacitus:Sallust:Petrarch:Marsilio Ficino:Gemistos Plethon:Xenophon:Ibn Khaldun:Dante Alighieri:Polybius:Livy:Thucydides:,Vincenzo Cuoco:Giulio Andreotti:Carl Schmitt:Hobbes:Spinoza:Rousseau:Marquis de Sade:Strauss:Gramsci:Hannah Arendt:David Hume:T. Schelling:Pareto:Bacon:Althusser:John Adams:Weber:Vico:Philip Pettit:Nietzsche:Hegel:Sismondi:Political realism:Waltz:Negri:Denis Diderot:Harrington:Edward Gibbon:,/wiki/Niccol%C3%B2_Machiavelli,43.77139,11.25417,AD 1469-05-03 00:00:00
25,Pierre Janet,,,William James:,/wiki/Pierre_Janet,48.856613,2.352222,AD 1859-05-30 00:00:00
26,Benveniste,,,Paul Ricœur:,/wiki/%C3%89mile_Benveniste,36.217,37.167,AD 1902-05-27 00:00:00
27,John Fisher,,,Edmund Burke:,/wiki/John_Fisher,53.845,-0.427,AD 1469-10-19 00:00:00
28,Samuel Hartlib,,,Robert Boyle:,/wiki/Samuel_Hartlib,FILL,FILL,FILL
29,Theognis of Megara,,,Friedrich Nietzsche:,/wiki/Theognis_of_Megara,FILL,FILL,FILL
30,Paul Broca,,,John Fiske (philosopher):,/wiki/Paul_Broca,44.84,0.22,AD 1824-06-28 00:00:00
31,Jacques Lacan, (1901–1981),G.W.F. Hegel:Alexandre Kojève:Immanuel Kant:Aristotle:Karl Marx:Gaëtan Gatian de Clérambault:Jean Paul Sartre:Sigmund Freud:Salvador Dalí:Roman Jakobson:Georges Bataille:Claude Lévi-Strauss:Marquis de Sade:,Lacanian movement:Frantz Fanon:Éric Laurent:Jacques-Alain Miller:Alain Badiou:Elisabeth Roudinesco:Ljubljana school of psychoanalysis:Mari Ruti:Luce Irigaray:Peter Rollins:Louis Althusser:Julia Kristeva:Slavoj Žižek:,/wiki/Jacques_Lacan,48.856613,2.352222,AD 1901-04-13 00:00:00
32,Ernst Bloch (philosopher), (1885–1977),Paracelsus:Jacob Boehme:Karl Marx:Thomas Müntzer:Heinrich Rickert:G. W. F. Hegel:,Walter Benjamin:Theodor W. Adorno:Emmanuel Levinas:Jürgen Moltmann:Ernesto Balducci:Fredric Jameson:,/wiki/Ernst_Bloch_(philosopher),49.48111,8.43528,AD 1885-07-08 00:00:00
33,Abhinavagupta, (fl. c. 975–1025),,Lakṣmaṇagupta:Śambhunātha:Bhūtirāja:,/wiki/Abhinavagupta,34.5,76.5,AD 0950-11-01 00:00:00
34,Hobsbawm,,,Ernesto Laclau:,/wiki/Eric_Hobsbawm,31.2,29.917,AD 1917-06-09 00:00:00
35,James Mill, (1773–1836),Jeremy Bentham:Dugald Stewart:David Hartley:,John Stuart Mill:,/wiki/James_Mill,56.667,-2.917,AD 1773-04-06 00:00:00
36,Seneca the Younger, (c. 4 BC–AD 65),Attalus:Zeno of Citium:Plato:Cleanthes:Chrysippus:Sotion:Epicurus:Publilius Syrus:,Cardinal Giovanni Colonna:Medieval philosophy:Tertullian:Michel de Montaigne:Marcus Aurelius:Albertino Mussato:Dante Alighieri:Martin of Braga:Baruch Spinoza:Augustine of Hippo:,/wiki/Seneca_the_Younger,37.88450722,-4.7795675,FILL
37,Slavoj Žižek, (born 1949),Job:Chesterton:Spinoza:Schmitt:Adorno:Strauss:Schelling:Balibar:Badiou:Kant:Engels:Lacan:Lenin:Debenjak:Althusser:Dolar:Freud:Zupančič:Foucault:Hegel:Marx:Rancière:Benjamin:Laclau:Jameson:,Brooks:Dean:Rousselle:Santner:Tsipras:Horvat:Varoufakis:Fisher:Dolar:Zupančič:,/wiki/Slavoj_%C5%BDi%C5%BEek,46.05556,14.50833,AD 1949-03-21 00:00:00
38,Salvador Dalí,,,Jacques Lacan:,/wiki/Salvador_Dal%C3%AD,42.26667,2.965,AD 1904-05-11 00:00:00
39,Roman Jakobson,,,Jacques Lacan:,/wiki/Roman_Jakobson,55.75583,37.61722,AD 1896-10-11 00:00:00
40,Claessens,,,Peter Sloterdijk:,/wiki/Dieter_Claessens,FILL,FILL,FILL
41,Orphism,,,Plato:,/wiki/Orphism_(religion),FILL,FILL,FILL
42,Adam Ferguson, (1723–1816),Montesquieu:,Karl Marx:Dugald Stewart:,/wiki/Adam_Ferguson,56.647558,-3.679711,AD 1723-07-01 00:00:00
43,Ludwig Klages, (1872–1956),Busse:Nietzsche:Schopenhauer:Ibsen:Carus:Bachofen:Huch:Schuler:Goethe:George:Bahnsen:,Kahn:Hoffmann:Hesse:Schuler:Cassirer:Ewald:Cioran:Adorno:Cortázar:de:Löwith:Horkheimer:Lukács:Homburger:Guattari:Bataille:Lacan:Schultz:Kubin:Derrida:Agamben:Kronfeld:Foucault:Schneider:de Man:Lange:Habermas:Benjamin:Mann:Voigtländer:Heidegger:,/wiki/Ludwig_Klages,52.367,9.717,AD 1872-12-10 00:00:00
