name,birth,incoming_links,outgoing_links,page,latitude,longitude
Confucius, (551 BC–479 BC),Zhou dynasties:Book of Rites:I Ching:Shang:Xia:Classic of Poetry:,Robert Cummings Neville:Wang Shouren:Alexander Pope:Benjamin Franklin:Niels Bohr:Voltaire:Neoconfucians:Ezra Pound:Han Yu:Gottfried Wilhelm Leibniz:Allen Ginsberg:François Quesnay:Chinese philosophy:Mencius:Zhu Xi:Neotaoists:Friedrich Schiller:Thomas Jefferson:Xun Kuang:Western thinkers:Christian Wolff:,/wiki/Confucius,FILL,FILL
Evgeny Pashukanis,,,Nicos Poulantzas:,/wiki/Evgeny_Pashukanis,FILL,FILL
Saint-Martin,,,Joseph de Maistre:,/wiki/Louis_Claude_de_Saint-Martin,FILL,FILL
Flournoy,,,Carl Jung:,/wiki/Th%C3%A9odore_Flournoy,FILL,FILL
Erasmus,,,Edmund Burke:,/wiki/Erasmus,FILL,FILL
Henri Laborit,,,Edgar Morin:,/wiki/Henri_Laborit,FILL,FILL
Leonard Nelson, (1882–1927),Ernst Friedrich Apelt:Immanuel Kant:Neo-Kantianism:David Hilbert:Gerhard Hessenberg:Jakob Friedrich Fries:,Kurt Grelling:Minna Specht:Paul Bernays:,/wiki/Leonard_Nelson,FILL,FILL
John Baillie,,,John Hick:,/wiki/John_Baillie_(theologian),FILL,FILL
Robert K. Merton,,,Mario Bunge:,/wiki/Robert_K._Merton,FILL,FILL
Pasicles of Thebes,,,Stilpo:,/wiki/Pasicles_of_Thebes,FILL,FILL
Goethe,,,Hannah Arendt:,/wiki/Johann_Wolfgang_von_Goethe,FILL,FILL
Abul Hasan Hankari,,,Avicenna:,/wiki/Abul_Hasan_Hankari,FILL,FILL
Norberto Bobbio, (1909–2004),Piero Gobetti:Vilfredo Pareto:Carlo Rosselli:Carlo Cattaneo:Luigi Einaudi:Benedetto Croce:Hans Kelsen:Giorgio Del Vecchio:,José Guilherme Merquior:Celso Lafer:Tercio Sampaio Ferraz Jr.:Luiz Carlos Bresser-Pereira:,/wiki/Norberto_Bobbio,FILL,FILL
Kandinsky,,,Alexandre Kojève:,/wiki/Wassily_Kandinsky,FILL,FILL
Jerry Fodor, (1935–2017),Søren Kierkegaard:Sydney Morgenbesser:Hilary Putnam:Franz Joseph Gall:Noam Chomsky:David Hume:,Ernest Lepore:Zenon Pylyshyn:Steven Pinker:,/wiki/Jerry_Fodor,FILL,FILL
John Dewey, (1859–1952),Hegel:Ward:Plato:Locke:George:Parker:Darwin:Wundt:William James:Peirce:Mead:Kant:Rousseau:Green:,Honneth:Martin:Hook:Anderson:Mills:Santayana:Greene:Putnam:Ambedkar:Durkheim:Richard McKeon:Kaplan:Chomsky:Herbert Schneider:West:Hu Shih:Margaret Naumburg:Makiguchi:Habermas:Park:Veblen:Rorty:,/wiki/John_Dewey,FILL,FILL
Avicebron,,,Albertus Magnus:,/wiki/Solomon_ibn_Gabirol,FILL,FILL
Renan,,,Friedrich Nietzsche:,/wiki/Ernest_Renan,FILL,FILL
Panaetius, (c. 185 – c. 110 BC),Antipater of Tarsus:Diogenes of Babylon:,Posidonius:Hecato:Cicero:,/wiki/Panaetius,FILL,FILL
Pierre Bourdieu, (1930–2002),Merleau-Ponty:Cassirer:Pascal:Husserl:Kant:Canguilhem:Aron:Elias:Durkheim:Saussure:Darwin:Gouhier:Althusser:Sartre:Bachelard:Freud:Wittgenstein:Foucault:Panofsky:Nietzsche:Mauss:Lévi-Strauss:Strawson:Marx:Heidegger:Weber:,Loïc Wacquant:Antanas Mockus:Édouard Louis:Béatrice Galinon-Mélénec:Anthony Giddens:Didier Eribon:,/wiki/Pierre_Bourdieu,FILL,FILL
Saint-Simon,,,Auguste Comte:,/wiki/Henri_de_Saint-Simon,FILL,FILL
Ebbinghaus,,,Leo Strauss:,/wiki/Julius_Ebbinghaus,FILL,FILL
Shah Wali Allah,) (1703–1762),Al-Shafi‘i:Abu Hanifa:Abu al-Hasan al-Ash'ari:Baha' al-Din Naqshband:,Muhammad Zakariyya al-Kandhlawi:Rashid Ahmad Gangohi:Shah Abdul Aziz:Muhammad Qasim Nanautavi:,/wiki/Shah_Wali_Allah,FILL,FILL
