,name,birth,incoming_links,outgoing_links,page
2337,Maria Montessori,NA,Johann Heinrich Pestalozzi:,,/wiki/Maria_Montessori
2338,Serbian epic poetry,NA,,Petar II Petrović-Njegoš:,/wiki/Serbian_epic_poetry
2339,Danilo I,NA,,Petar II Petrović-Njegoš:,"/wiki/Danilo_I,_Metropolitan_of_Cetinje"
2340,Sarajlija,NA,,Petar II Petrović-Njegoš:,/wiki/Sima_Milutinovi%C4%87_Sarajlija
2341,Byron,NA,,Petar II Petrović-Njegoš:,/wiki/Lord_Byron
2342,Mažuranić,NA,Petar II Petrović-Njegoš:,,/wiki/Ivan_Ma%C5%BEurani%C4%87
2343,Ljubiša,NA,Petar II Petrović-Njegoš:,,/wiki/Stjepan_Mitrov_Ljubi%C5%A1a
2344,M. Miljanov,NA,Petar II Petrović-Njegoš:,,/wiki/Marko_Miljanov
2345,Ljubibratić,NA,Petar II Petrović-Njegoš:,,/wiki/Mi%C4%87o_Ljubibrati%C4%87
2346,Nikola I,NA,Petar II Petrović-Njegoš:,,/wiki/Nicholas_I_of_Montenegro
2347,Skerlić,NA,Petar II Petrović-Njegoš:,,/wiki/Jovan_Skerli%C4%87
2348,Kostić,NA,Petar II Petrović-Njegoš:,,/wiki/Laza_Kosti%C4%87
2349,Jakšić,NA,Petar II Petrović-Njegoš:,,/wiki/%C4%90ura_Jak%C5%A1i%C4%87
2350,Radičević,NA,Petar II Petrović-Njegoš:,,/wiki/Branko_Radi%C4%8Devi%C4%87
2351,Ilić,NA,Petar II Petrović-Njegoš:,,/wiki/Vojislav_Ili%C4%87
