,name,birth,incoming_links,outgoing_links,page
108,Jean Buridan, (1300–1358),William of Ockham:Aristotle:Thomas Bradwardine:Porphyry:John Philoponus:Peter of Spain:,Galileo:Nicholas of Cusa:Nicole Oresme:Peter of Ailly:Albert of Saxony:Marsilius of Inghen:Copernicus:,/wiki/Jean_Buridan
109,Edmund Burke, (1729–1797),Rockingham:Aristotle:Sir William Blackstone:Montesquieu:John Fisher:Michel de Montaigne:René Descartes:Thomas More:Edward Coke:John Selden:Cicero:John Milton:Saint Augustine:David Hume:Erasmus:Hugo Grotius:Joseph Butler:Thomas Aquinas:,Thomas Carlyle:Lord Acton:Slobodan Jovanović:William Hazlitt:William F Buckley:G. K. Chesterton:Samuel Taylor Coleridge:John Stuart Mill:John Maynard Keynes:Joseph de Maistre:Warren H. Carroll:William Wordsworth:Friedrich Hayek:Immanuel Kant:Russell Kirk:Alexis de Tocqueville:Hilaire Belloc:William Ewart Gladstone:John Henry Newman:Adam Smith:Thomas Babington Macaulay:C. H. Douglas:,/wiki/Edmund_Burke
110,Joseph Butler, (1692–1752),Plato:Thomas Hobbes:Samuel Clarke:John Locke:Francis Hutcheson:,Edmund Burke:C. S. Lewis:David Seabury:David Hume:Jeremy Bentham:John Warwick Montgomery:Adam Smith:Thomas Reid:William Paley:,/wiki/Joseph_Butler
111,Judith Butler, (born 1956),Jacques Derrida:Michel Foucault:Monique Wittig:Karl Marx:Theodor Adorno:Simone de Beauvoir:Sigmund Freud:Emmanuel Lévinas:Luce Irigaray:J. L. Austin:Jacques Lacan:G. W. F. Hegel:Louis Althusser:Friedrich Nietzsche:Maurice Merleau-Ponty:Gayle Rubin:,Sandy Stone:Jasbir Puar:Susan Stryker:Andrea Smith:Pussy Riot:,/wiki/Judith_Butler
112,Pierre Jean George Cabanis,NA,Marquis de Condorcet:,,/wiki/Pierre_Jean_Ge
113,Edward Caird, (1835–1908),Benjamin Jowett:,Henry Jones:John Watson:,/wiki/Edward_Caird
114,Thomas Cajetan, (1469–1534),Aristotle:Saint Jerome:Averroes:Pico della Mirandola:St. Thomas Aquinas:Saint Augustine:Duns Scotus:,Étienne Gilson:Ralph McInerny:Henri de Lubac:,/wiki/Thomas_Cajetan
115,Albert Camus, (1913–1960),Grenier:Kierkegaard:Nietzsche:Schopenhauer:Dostoevsky:Marx:Weil:Sartre:Stirner:Kafka:Augustine:,,/wiki/Albert_Camus
116,Georges Canguilhem, (1904–1995),Claude Bernard:Gaston Bachelard:Henri Bergson:Kurt Goldstein:Alain:,Michel Foucault:Jacques-Alain Miller:Arnold Davidson:Alain Badiou:Pierre Bourdieu:Gilles Deleuze:Dominique Lecourt:Louis Althusser:François Dagognet:,/wiki/Georges_Canguilhem
117,Claudia Card, (1940–2015),Nietzsche:Mary Daly:Marilyn Frye:Susan Griffin:John Rawls:Marcus George Singer:Adrienne Rich:Kant:Schopenhauer:,,/wiki/Claudia_Card
118,Rudolf Carnap, (1891–1970),Einstein:Mach:Brentano:Husserl:Russell:Wittgenstein:Kant:Bauch:Frege:Tarski:,Negarestani:Lewis:Bergmann:Goodman:Jeffrey:Gödel:Kuhn:Reichenbach:Ayer:Lakatos:Popper:Davidson:Kaplan:Sellars:Waismann:Dummett:Bar-Hillel:Hempel:Quine:Simon:Tarski:,/wiki/Rudolf_Carnap
119,Carneades, (c. 214–129 BC),Arcesilaus:Plato:Diogenes of Babylon:,Philo of Larissa:Clitomachus:Sextus Empiricus:,/wiki/Carneades
120,Ernst Cassirer, (1874–1945),Immanuel Kant:Friedrich Wilhelm Joseph Schelling:Gottfried Wilhelm Leibniz:Hermann Cohen:Johann Wolfgang von Goethe:,Eric Weil:Susanne Langer:Leo Strauss:Wilbur Marshall Urban:,/wiki/Ernst_Cassirer
121,Hector-Neri Castañeda, (1924–1991),Wilfrid Sellars:Alexius Meinong:,John Perry:,/wiki/Hector-Neri_Casta%C3%B1eda
122,Cornelius Castoriadis, (1922–1997),Martin Heidegger:Piera Aulagnier:György Lukács:G. L. Boggs:Jean-Jacques Rousseau:Maurice Merleau-Ponty:Susan Isaacs:Aristotle:Jacques Derrida:Max Weber:J. G. Fichte:Hannah Arendt:Joan Robinson:Leon Trotsky:Serge Latouche:Gaston Bachelard:Edmund Husserl:Jacques Ellul:Paul Ricœur:Karl Marx:Giambattista Vico:Francisco Varela:C. L. R. James:Jean Laplanche:Melanie Klein:Sigmund Freud:Rosa Luxemburg:Jean-Bertrand Pontalis:René Poirier:André Leroi-Gourhan:,Nicole Loraux:Harald Wolf:Zygmunt Bauman:Pierre Vidal-Naquet:Graham Ward:Nikolas Kompridis:Shimshon Bichler:François Roustang:Jonathan Nitzan:Marcel Gauchet:Raphaël Gély:Guy Debord:Jacques Le Goff:Lorraine Code:Maurice Brinton:Elias Petropoulos:Johann Pál Arnason:Frieder Otto Wolf:Edgar Morin:Takis Fotopoulos:Sophie Klimis:René Lourau:Sudipta Kaviraj:Daniel Cohn-Bendit:Robin Hahnel:Serge Latouche:Mathieu Potte-Bonneville:Georges Lapassade:Hans Joas:Vincent Descombes:Vincent de Gaulejac:Myriam Revault d'Allonnes:Anthony Giddens:Andrew Arato:Claude Lefort:Jean Baudrillard:Laurent Van Eynde:Georges Duby:Francisco Varela:Gabriel Rockhill:John B. Thompson:Jean-Claude Michéa:Yorgos Oikonomou:Hans G. Furth:E. P. Thompson:Danilo Martuccelli:Richard Rorty:,/wiki/Cornelius_Castoriadis
123,Jean Cavaillès, (1903–1944),Bernard Bolzano:Léon Brunschvicg:,Gilles-Gaston Granger:Georges Canguilhem:Jean Hyppolite:Louis Althusser:Jules Vuillemin:,/wiki/Jean_Cavaill%C3%A8s
124,Stanley Cavell, (1926–2018),Kierkegaard:Nietzsche:Thoreau:Emerson:Austin:Robert Warshow:Roger Sessions:Jean Renoir:Shakespeare:Thomas Kuhn:André Bazin:Northrop Frye:Rogers Albritton:Freud:Wittgenstein:Claude Esteban:Heidegger:,Robert Gardner:Rae Langton:Toril Moi:Stephen Mulhall:Michael Fried:Nikolas Kompridis:Sandra Laugier:Marc Shell:Nancy Bauer:David Macarthur:Arnold Davidson:Cornel West:Barbara Herman:Shoshana Felman:James F. Conant:Alice Crary:Claude Esteban:Arnaud Desplechin:Jay Cantor:Charles Bernstein:Terrence Malick:Hilary Putnam:Ross McElwee:Paul Guyer:Bernard Williams:Thomas Kuhn:Cora Diamond:Hent de Vries:Paul W. Franks:Vicki Hearne:,/wiki/Stanley_Cavell
125,Pierre Charron, (1541–1603),Justus Lipsius:Raymond of Sabunde:Sextus Empiricus:Michel de Montaigne:,,/wiki/Pierre_Charron
126,Cheng Yi (philosopher),) (1033–1107),Mencius:Confucius:Zhou Dunyi:,Zhu Xi:,/wiki/Cheng_Yi_(philosopher)
127,Nikolai Chernyshevsky, (1828–1889),Mill:Fourier:Hegel:Sechenov:Proudhon:Belinsky:Feuerbach:Blanc:Comte:Nekrasov:Schelling:Malthus:Herzen:Considérant:Ricardo:Smith:Rousseau:Lamarck:,Antonovich:Pisarev:Dobrolyubov:Lenin:Tkachev:Russian Marxists:Mikhaylovsky:Marković:Nechayev:Lavrov:Kropotkin:Plekhanov:Goldman:,/wiki/Nikolai_Chernyshevsky
128,Roderick Chisholm, (1916–1999),Donald C. Williams:Alexius Meinong:Wilfrid Sellars:Curt John Ducasse:Clarence Irving Lewis:Thomas Reid:,Richard Taylor:Selmer Bringsjord:Peter D. Klein:Jaegwon Kim:Dean Zimmerman:Edmund Gettier:Keith Lehrer:Dale Jacquette:Ernest Sosa:Fred Feldman:,/wiki/Roderick_Chisholm
129,Chou Tun-Yi,) (1017–1073),Mencius:Confucius:,Zhu Xi:Cheng Yi:Cheng Hao:,/wiki/Chou_Tun-Yi
130,Chrysippus, (279–207 BC),Diodorus Cronus:Philo:Aristotle:Zeno of Citium:Plato:Cleanthes:,,/wiki/Chrysippus
131,Patricia Churchland, (born 1943),Willard Van Orman Quine:David Hume:Paul Churchland:Francis Crick:,,/wiki/Patricia_Churchland
132,Paul Churchland, (born 1942),Patricia Churchland:Karl Popper:Thomas Kuhn:Paul Feyerabend:Wilfred Sellars:W. V. O. Quine:,Ray Brassier:Patricia Churchland:,/wiki/Paul_Churchland
133,Cicero, (106 BC–43 BC),Philo of Larissa:Panaetius:Socrates:Plato:,Western philosophy:,/wiki/Cicero
134,August Cieszkowski, (1814–1894),Joachim of Fiore:Karl Ludwig Michelet:G. W. F. Hegel:,Cyprian Norwid:Józef Kremer:Zygmunt Krasinski:Bronisław Trentowski:Karl Marx:Moses Hess:Józef Kallenbach:,/wiki/August_Cieszkowski
135,Emil Cioran, (1911–1995),François de La Rochefoucauld:Martin Heidegger:Philipp Mainländer:Georg Simmel:Nicolas Chamfort:Ludwig Klages:Constantin Noica:Oswald Spengler:Fyodor Dostoevsky:Joseph de Maistre:Arthur Schopenhauer:Emily Brontë:Immanuel Kant:Teresa of Ávila:Paul Valéry:Søren Kierkegaard:Lev Shestov:Nae Ionescu:Joseph Joubert:Blaise Pascal:Friedrich Nietzsche:,Thomas Ligotti:Fernando Savater:Nick Land:Jean Baudrillard:Eugene Thacker:,/wiki/Emil_Cioran
136,Hélène Cixous, (born 1937),Sigmund Freud:Jacques Derrida:Maurice Blanchot:Jacques Lacan:,Avital Ronell:Jacques Derrida:,/wiki/H%C3%A9l%C3%A8ne_Cixous
137,Johannes Clauberg, (1622–1665),Aristotle:Descartes:,,/wiki/Johannes_Clauberg
138,Cleanthes, (301–232 BC),Zeno of Citium:,Chrysippus:Sphaerus:,/wiki/Cleanthes
139,Gerald Cohen, (1941–2009),Isaiah Berlin:Karl Marx:John Rawls:Gilbert Ryle:Louis Althusser:,Jonathan Wolff:Will Kymlicka:John Roemer:Larry Temkin:John McMurtry:Michael Otsuka:Euclid Tsakalotos:Alan Carter:,/wiki/Gerald_Cohen
140,Hermann Cohen, (1842–1918),Friedrich Albert Lange:Friedrich Adolf Trendelenburg:,Ernst Cassirer:Henry E. Allison:Paul Natorp:Leo Strauss:Peter Strawson:Martin Buber:,/wiki/Hermann_Cohen
141,Morris Raphael Cohen, (1880–1947),Josiah Royce:William James:Hugo Münsterberg:,Sidney Hook:Ernest Nagel:,/wiki/Morris_Raphael_Cohen
142,John Colet, (1466–1519),Girolamo Savonarola:Guillaume Budé:,Desiderius Erasmus:,/wiki/John_Colet
143,R. G. Collingwood, (1889–1943),Giovanni Gentile:Immanuel Kant:Wilhelm Dilthey:Guido de Ruggiero:J. A. Smith:Benedetto Croce:Giambattista Vico:G. W. F. Hegel:F. H. Bradley:,Alasdair MacIntyre:Leo Strauss:,/wiki/R._G._Collingwood
144,Anthony Collins, (1676–1729),John Locke:,,/wiki/Anthony_Collins
145,Auguste Comte, (1798–1857),Maistre:Bichat:Bacon:Condorcet:Diderot:Ibn Khaldun:Descartes:Saint-Simon:,Émile Durkheim:Eugen Dühring:Edward Spencer Beesly:Charles Darwin:George Henry Lewes:Karl Marx:Sigmund Freud:John Stuart Mill:Herbert Spencer:Pierre Laffitte:Harriet Martineau:Charles Maurras:Leo Strauss:Émile Littré:Friedrich Nietzsche:Frederic Harrison:,/wiki/Auguste_Comte
146,Étienne Bonnot de Condillac, (1715–1780),Locke:,Bello:Helvétius:Cousin:Lavoisier:Maine de Biran:Rousseau:,/wiki/%C3%89tienne_Bonnot_de_Condillac
147,Marquis de Condorcet, (1743–1794),Leonhard Euler:Jean le Rond d'Alembert:Voltaire:Benjamin Franklin:Jean-Jacques Rousseau:Turgot:,André Chénier:Charles Darwin:Pierre Jean George Cabanis:Karl Marx:Sigmund Freud:Liberalism:Thomas Clarkson:Jean-Marie Roland:Henri de Saint-Simon:Friedrich Nietzsche:Jacques Pierre Brissot:,/wiki/Marquis_de_Condorcet
148,Confucius, (551 BC–479 BC),Zhou dynasties:Book of Rites:I Ching:Shang:Xia:Classic of Poetry:,Robert Cummings Neville:Wang Shouren:Alexander Pope:Benjamin Franklin:Niels Bohr:Voltaire:Neoconfucians:Ezra Pound:Han Yu:Gottfried Wilhelm Leibniz:Allen Ginsberg:François Quesnay:Chinese philosophy:Mencius:Zhu Xi:Neotaoists:Friedrich Schiller:Thomas Jefferson:Xun Kuang:Western thinkers:Christian Wolff:,/wiki/Confucius
149,Henry Corbin, (1903–1978),Ibn Arabi:Nasr:Luther:Tabataba'i:Gilson:Suhrawardi:Massignon:Heidegger:Avicenna:,Charles Olson:Dariush Shayegan:James Hillman:Hossein Nasr:Gilbert Durand:Temenos Academy:Jacques Lacan:William Chittick:Harold Bloom:,/wiki/Henry_Corbin
150,Victor Cousin, (1792–1867),Immanuel Kant:Friedrich Wilhelm Joseph Schelling:Thomas Reid:Georg Wilhelm Friedrich Hegel:Friedrich Heinrich Jacobi:René Descartes:Pierre Paul Royer-Collard:Plotinus:Maine de Biran:,Théodore Simon Jouffroy:Pierre-Joseph Proudhon:Jean Philibert Damiron:Ralph Waldo Emerson:Jules Simon:Patrick Edward Dove:Adolphe Garnier:Charles de Rémusat:Jules Barthélemy Saint-Hilaire:Adolphe Franck:Paul Janet:Felix Ravaisson-Mollien:,/wiki/Victor_Cousin
151,William Crathorn, (14th century),William of Ockham:,,/wiki/William_Crathorn
152,Benedetto Croce, (1866–1952),Giovanni Gentile:Immanuel Kant:Friedrich Wilhelm Joseph Schelling:Georg Wilhelm Friedrich Hegel:Johann Gottlieb Fichte:Francesco de Sanctis:Giambattista Vico:Antonio Labriola:Jean-Jacques Rousseau:,Giovanni Gentile:Carlo Rosselli:Giorgio Bassani:José Carlos Mariátegui:Georges Sorel:Guido De Ruggiero:Eugenio Montale:George Mosse:Julius Evola:R. G. Collingwood:Antonio Gramsci:,/wiki/Benedetto_Croce
153,Ralph Cudworth, (1617–1688),Plato:,Masham:Shaftesbury:,/wiki/Ralph_Cudworth
154,Arthur Danto, (1924–2013),Arthur Schopenhauer:Georg Wilhelm Friedrich Hegel:Andy Warhol:Ludwig Wittgenstein:Friedrich Nietzsche:Maurice Merleau-Ponty:Jean-Paul Sartre:Nelson Goodman:,Noël Carroll:David Carrier:George Dickie:,/wiki/Arthur_Danto
155,Charles Darwin, (1809–1882),Gilbert White:John Herschel:Charles Lyell:Alexander von Humboldt:Thomas Malthus:,,/wiki/Charles_Darwin
156,Donald Davidson (philosopher), (1917–2003),Feigl:Russell:Wittgenstein:Quine:Goodman:Kant:Frege:Tarski:,Colin McGinn:Michael Dummett:Robert Brandom:Mark Bevir:Tyler Burge:Ernest Lepore:Kirk Ludwig:Jeff Malpas:John McDowell:Richard Rorty:,/wiki/Donald_Davidson_(philosopher)
157,Simone de Beauvoir, (1908–1986),Kierkegaard:Hegel:Nietzsche:Bergson:Marx:Wollstonecraft:Darwin:Husserl:Sade:Sartre:Leibniz:Freud:Kant:Descartes:Heidegger:,Butler:Kim:Rich:Quito:Sartre:Hoagland:Paglia:Greer:Camus:Friedan:,/wiki/Simone_de_Beauvoir
158,Joseph de Maistre, (1753–1821),Saint-Martin:Malebranche:Socrates:Voltaire:Hume:Rousseau:Augustine:Aristotle:More:Plutarch:Origen:Erasmus:Descartes:Bible:Plato:Montesquieu:Church Fathers:Aquinas:Vico:Bonald:Fénelon:Gibbon:Burke:Tertullian:Bossuet:,Walsh:Lewis:Yockey:Donoso:Chesterton:Saint-Bonnet:Schmitt:Maurras:Cioran:Benson:Boutang:Rosmini:Girard:MacDonald:Baudelaire:von Haller:Ljotić:Veuillot:Kirk:Buckley:Evola:Newman:Barbey:Belloc:Lévi:Bonald:Guénon:Bernanos:Carroll:Bloy:Saint-Simon:Comte:Tolkien:,/wiki/Joseph_de_Maistre
159,Paul de Man, (1919–1983),Jacques Derrida:,,/wiki/Paul_de_Man
160,Guy Debord, (1931–1994),Isidore Isou:Dada:Andre Breton:Henri Lefebvre:Friedrich Engels:Comte de Lautréamont:Karl Marx:Anton Pannekoek:Frankfurt School:György Lukács:Cornelius Castoriadis:Georges Bataille:G. W. F. Hegel:Marquis de Sade:Jean-Paul Sartre:,Giorgio Agamben:Paul Virilio:Ken Knabb:Tiqqun:Post-left anarchy:May 1968:Jean Baudrillard:John Zerzan:Punk rock:,/wiki/Guy_Debord
161,Gilles Deleuze, (1925–1995),Wahl:Uexküll:Hyppolite:Lawrence:Scotus:Spinoza:Hume:Klossowski:Leibniz:Simondon:Proust:Kant:Canguilhem:Alquié:Lacan:Bergson:Shestov:Whitehead:Althusser:Sartre:Freud:Foucault:Kafka:Nietzsche:Marx:Bateson:Burroughs:Beckett:Peirce:Gandillac:Borges:,DeLanda:Land:Latour:Massumi:Badiou:Guattari:Sloterdijk:Reynolds:Shapiro:Brassier:Grosz:Bryant:Agamben:Fisher:Hardt:Foucault:Pelbart:Stiegler:Negri:Braidotti:,/wiki/Gilles_Deleuze
162,Giorgio Del Vecchio, (1878–1970),,Norberto Bobbio:,/wiki/Giorgio_Del_Vecchio
163,Democritus, (460–370 BC),Melissus of Samos:Leucippus:,Aristotle:Michel Onfray:George Santayana:Lucretius:Montaigne:Severino:Karl Marx:Pyrrho:Epicurus:Friedrich Nietzsche:Baruch Spinoza:,/wiki/Democritus
164,Daniel Dennett, (born 1942),Charles Darwin:Ludwig Wittgenstein:Wilfrid Sellars:W. V. O. Quine:Richard Dawkins:Gilbert Ryle:David Hume:,Sam Harris:Douglas Hofstadter:Geoffrey Miller:Richard Dawkins:Keith Frankish:Peter Carruthers:,/wiki/Daniel_Dennett
165,Jacques Derrida, (1930–2004),Joyce:Levinas:Meister Eckhart:Rousseau:De Saussure:Husserl:Bataille:Plato:Barthes:Freud:Kafka:Nietzsche:Kierkegaard:Austin:Lévi-Strauss:Hegel:Marx:Benjamin:Blanchot:Genet:Heidegger:,James KA Smith:Judith Butler:Geoffrey Hartman:Paul B. Preciado:Catherine Malabou:John D. Caputo:Bernard Stiegler:Paul de Man:Béatrice Galinon-Mélénec:Maebh Long:Philippe Lacoue-Labarthe:Peter Rollins:Jean-Luc Nancy:Sarah Kofman:Gayatri Chakravorty Spivak:Richard Rorty:,/wiki/Jacques_Derrida
166,René Descartes, (1596–1650),Beeckman:Anselm:Elisabeth of the Palatinate:Sextus Empiricus:Augustine:Aristotle:Alhazen:Harvey:Jacobus Golius:Al-Ghazali:Duns Scotus:Plato:Suárez:Stoics:Montaigne:Aquinas:Averroes:Ockham:Archimedes:Teresa of Ávila:Mersenne:Viète:,Locke:Arnauld:Malebranche:Voltaire:Spinoza:Hume:Leibniz:Rousseau:Pascal:Husserl:Kant:Newton:Chomsky:Western philosophy:Nietzsche:Gibbon:Bossuet:Huygens:Schopenhauer:,/wiki/Ren%C3%A9_Descartes
167,Antoine Destutt de Tracy, (1754–1836),Condillac:Cabanis:Locke:Condorcet:,Jefferson:,/wiki/Antoine_Destutt_de_Tracy
168,John Dewey, (1859–1952),Hegel:Ward:Plato:Locke:George:Parker:Darwin:Wundt:William James:Peirce:Mead:Kant:Rousseau:Green:,Honneth:Martin:Hook:Anderson:Mills:Santayana:Greene:Putnam:Ambedkar:Durkheim:Richard McKeon:Kaplan:Chomsky:Herbert Schneider:West:Hu Shih:Margaret Naumburg:Makiguchi:Habermas:Park:Veblen:Rorty:,/wiki/John_Dewey
169,Denis Diderot, (1713–1784),Laurence Sterne:Aristotle:Jean-Jacques Rousseau:Samuel Richardson:Miguel de Cervantes:Lucretius:Isaac Newton:René Descartes:John Locke:Voltaire:Niccolò Machiavelli:Baruch Spinoza:,Johann Wolfgang von Goethe:Milan Kundera:Günter Grass:Baron d'Holbach:Auguste Comte:Jacques Barzun:Karl Marx:François-Noël Babeuf:Étienne Bonnot de Condillac:,/wiki/Denis_Diderot
170,Joseph Dietzgen, (1828–1888),Hegel:Marx:Feuerbach:Spinoza:Leibniz:Kant:,Lenin:Pannekoek:Marx:,/wiki/Joseph_Dietzgen
171,Wilhelm Dilthey, (1833–1911),Friedrich Schleiermacher:Arthur Schopenhauer:Immanuel Kant:German Romanticism:Georg Wilhelm Friedrich Hegel:Johann Gustav Droysen:August Böckh:Johann Gottfried Herder:Friedrich Adolf Trendelenburg:,Jürgen Habermas:Max Weber:José Ortega y Gasset:Martin Heidegger:Franz Boas:Hans-Georg Gadamer:R. G. Collingwood:Georg Simmel:Rudolf Steiner:Karl Jaspers:,/wiki/Wilhelm_Dilthey
172,Diogenes of Sinope,NA,Antisthenes:,,/wiki/Diogenes
173,Fyodor Dostoyevsky,NA,,Mikhail Bakhtin:,/wiki/Fyodor_Dostoevsky
174,Curt Ducasse, (1881–1969),Josiah Royce:William James:,Roderick Chisholm:Wilfrid Sellars:,/wiki/Curt_Ducasse
175,Pierre Duhem, (1861–1916),Blaise Pascal:William Rankine:Ernst Mach:Willard Gibbs:,John Worrall:Thomas Kuhn:Stephen Menn:Émile Jouguet:Stanley Jaki:,/wiki/Pierre_Duhem
176,Michael Dummett, (1925–2011),Peter Geach:J. M. E. McTaggart:Donald Davidson:L. E. J. Brouwer:Ludwig Wittgenstein:G. E. M. Anscombe:Gilbert Ryle:Gottlob Frege:,Gareth Evans:Christopher Peacocke:Luciano Floridi:Hans Sluga:Crispin Wright:Ian Rumfitt:Barry Smith:Carlo Penco:Timothy Williamson:,/wiki/Michael_Dummett
177,Raya Dunayevskaya, (1910–1987),Leon Trotsky:Frantz Fanon:Friedrich Engels:Georg Wilhelm Friedrich Hegel:Karl Marx:Rosa Luxemburg:Vladimir Lenin:,Cyril Smith:Kevin B. Anderson:Andrew Kliman:Erich Fromm:,/wiki/Raya_Dunayevskaya
178,Enrique Dussel, (born 1934),Paul Ricoeur:Mohammed Abed al-Jabri:José Ortega y Gasset:Xavier Zubiri:André Gunder Frank:Karl Marx:Emmanuel Levinas:,,/wiki/Enrique_Dussel
179,Ronald Dworkin, (1931–2013),Aristotle:Learned Hand:Plato:Rupert Cross:H. L. A. Hart:John Rawls:,Jeremy Waldron:Robert Alexy:,/wiki/Ronald_Dworkin
180,Meister Eckhart, (1260–1327/8),Proclus:Pseudo-Dionysius:Johannes Scottus Eriugena:Thomas Aquinas:Augustine of Hippo:,D. T. Suzuki:Huldrych Zwingli:Nicholas of Cusa:Gustav Landauer:Jacques Derrida:Eckhart Tolle:Martin Heidegger:Martin Luther:Carl Gustav Jung:John Tauler:Matthew Fox:Julius Evola:Henry VIII:Erasmus:John Calvin:Henry Suso:,/wiki/Meister_Eckhart
181,Umberto Eco, (1932–2016),James Joyce:Immanuel Kant:Arthur Conan Doyle:Jorge Luis Borges:Charles Sanders Peirce:Thomas Aquinas:,Stuart Hall:,/wiki/Umberto_Eco
182,Christian von Ehrenfels, (1856–1932),Franz Brentano:Ernst Mach:Alexius Meinong:,Felix Weltsch:George Stout:,/wiki/Christian_von_Ehrenfels
183,Albert Einstein, (1879–1955),Arthur Schopenhauer:Thomas Young:Hendrik Lorentz:Bernhard Riemann:Gottfried Wilhelm Leibniz:Isaac Newton:Ernst Mach:Hermann Minkowski:James Clerk Maxwell:Moritz Schlick:David Hume:Baruch Spinoza:Michele Besso:,modern physicists:,/wiki/Albert_Einstein
184,Ralph Waldo Emerson, (1803–1882),Carlyle:de Gérando:Cousin:Montaigne:Swedenborg:de Staël:Hafez:Mary Moody Emerson:Coleridge:Descartes:,Nietzsche:Thoreau:Marx:James:Freud:Whitman:Muir:Harold Bloom:,/wiki/Ralph_Waldo_Emerson
185,Empedocles, (490 BC–430 BC),Parmenides:Pythagoreanism:Alcmaeon of Croton:,Aristotle:Lucretius:Gorgias:Socrates:Critias:Friedrich Nietzsche:,/wiki/Empedocles
186,Friedrich Engels, (1820–1895),Hegel:Fourier:Marx:Hess:Feuerbach:Heraclitus:Morgan:Goethe:Ricardo:Smith:Rousseau:Stirner:,List of Marxists:,/wiki/Friedrich_Engels
187,Epictetus, (AD 55–c. 135),Musonius Rufus:Zeno of Citium:Cleanthes:Chrysippus:Diogenes:Socrates:Hippocrates:,Han Ryner:Marcus Aurelius:James Stockdale:Arrian:Junius Rusticus:Albert Ellis:,/wiki/Epictetus
188,Epicurus, (341 BC–270 BC),Aristotle:Plato:Aristippus:Democritus:Pyrrho:Nausiphanes:,Jean-Jacques Rousseau:Seneca the Younger:Thomas Hobbes:Lucretius:Isaac Newton:Karl Marx:Metrodorus:Hermarchus:John Stuart Mill:Voltaire:Bentham:Gassendi:Thomas Jefferson:David Hume:Philodemus:Baruch Spinoza:,/wiki/Epicurus
189,Desiderius Erasmus, (1466–1536),Augustine of Hippo:Aristotle:Jerome:Plato:Epicureanism:Giovanni Pico della Mirandola:John Colet:Alexander Hegius:Jan Standonck:Socrates:Thomas Aquinas:Dante:Cicero:,John Milton:John Calvin:St. Francis De Sales:Huldrych Zwingli:St. Philip Neri:Jacob Milich:St. Charles Borromeo:St. John Fisher:St. Ignatius of Loyola:St. Francis Xavier:St. Teresa of Ávila:William Tyndale:St. Pius V:Martin Luther:St. John Henry Newman:John Colet:St. Peter Canisius:St. Thomas More:Wolfgang Capito:Henry VIII:St. Robert Bellarmine:,/wiki/Desiderius_Erasmus
190,Johannes Scotus Eriugena, (c. 800–c. 880),Plato:St. Maximus the Confessor:St. Augustine of Hippo:Origen:Dionysius the Areopagite:Boethius:Cappadocian Fathers:,Berengar of Tours:School of Chartres:Nicholas of Cusa:St. Hildegard von Bingen:Honorius of Autun:Alain de Lille:St. Bernard of Clairvaux:Amaury of Bene:Georg Wilhelm Friedrich Hegel:Bernardus Silvestris:St. Thomas Aquinas:Israel the Grammarian:Peter Damian:,/wiki/Johannes_Scotus_Eriugena
191,Rudolf Christoph Eucken, (1846–1926),Aristotle:Teichmüller:Aquinas:Lotze:Trendelenburg:,Max Scheler:Evelyn Underhill:W. R. Boyce Gibson:Abel J. Jones:,/wiki/Rudolf_Christoph_Eucken
192,Gareth Evans (philosopher), (1946–1980),Saul Kripke:Peter Strawson:Michael Dummett:,,/wiki/Gareth_Evans_(philosopher)
193,Emil Fackenheim, (1916–2003),Immanuel Kant:Martin Heidegger:Franz Rosenzweig:G. W. F. Hegel:F. W. J. Schelling:Leo Strauss:Baruch Spinoza:,James Doull:Douglas John Hall:,/wiki/Emil_Fackenheim
194,Frantz Fanon, (1925–1961),G.W.F. Hegel:Karl Marx:Sigmund Freud:Négritude:Aimé Césaire:Jacques Lacan:Jean-Paul Sartre:,Steve Biko:Lewis Gordon:Che Guevara:Afro-pessimism:Malcolm X:Edward Said:Hortense Spillers:Paulo Freire:Ali Shariati:Huey P. Newton:Ngugi wa Thiong'o:Bobby Seale:,/wiki/Frantz_Fanon
